	EntryID	Headword	enumeration
0	d2e13Meyers-1905	A [1]	a.:
1	d2e196057Meyers-1905	Asien	I. Drawida-Sprachen:
2	d2e250092Meyers-1905	B [1]	b:
3	d2e332284Meyers-1905	Bella gerantalii: tu, felix Austria, nube!	Bella gerantalii: tu, felix Austria, nube!
4	d2e470475Meyers-1905	Branntweinsteuer	Leitungsfähigkeit von Werkvorrichtungen:
5	d2e627424Meyers-1905	Christian [1]	[Schleswig:Holstein.]
6	d2e709437Meyers-1905	D [1]	d:
7	d2e870204Meyers-1905	Dünger	Stickstoff:
8	d2e870204Meyers-1905	Dünger	Stickstoff und Phosphorsäure (Stickstoffphosphate):
9	d2e870204Meyers-1905	Dünger	Phosphorsäure (Phosphate):
10	d2e870204Meyers-1905	Dünger	Kali (Kalidünger):
11	d2e870204Meyers-1905	Dünger	Kali und Stickstoff:
12	d2e870204Meyers-1905	Dünger	Kali und Phosphorsäure:
13	d2e1059304Meyers-1905	Farbstoffe	Schwarze Farben:
14	d2e1059304Meyers-1905	Farbstoffe	Braune Farben:
15	d2e1059304Meyers-1905	Farbstoffe	Rote Farben:
16	d2e1059304Meyers-1905	Farbstoffe	Orangefarben:
17	d2e1059304Meyers-1905	Farbstoffe	Gelbe Farben:
18	d2e1059304Meyers-1905	Farbstoffe	Grüne Farben:
19	d2e1059304Meyers-1905	Farbstoffe	Blaue Farben:
20	d2e1059304Meyers-1905	Farbstoffe	Violette Farben:
21	d2e1059304Meyers-1905	Farbstoffe	Weiße Farben:
22	d2e1059304Meyers-1905	Farbstoffe	Graue Farben:
23	d2e1059304Meyers-1905	Farbstoffe	Bronzefarben:
24	d2e1130181Meyers-1905	Flechten [1]	Strauchflechten:
25	d2e1130181Meyers-1905	Flechten [1]	Laubflechten:
26	d2e1130181Meyers-1905	Flechten [1]	Krustenflechten:
27	d2e1130181Meyers-1905	Flechten [1]	Gallertfledchten:
28	d2e1130181Meyers-1905	Flechten [1]	Fadenflechten:
29	d2e1130181Meyers-1905	Flechten [1]	Strauchflechten:
30	d2e1130181Meyers-1905	Flechten [1]	Laubflechten:
31	d2e1130181Meyers-1905	Flechten [1]	Krustenflechten:
32	d2e1130181Meyers-1905	Flechten [1]	Gallertflechten:
33	d2e1130181Meyers-1905	Flechten [1]	Fadenflechten:
34	d2e1218563Meyers-1905	Futterbau	Leguminosen:
35	d2e1218563Meyers-1905	Futterbau	Kruziferen:
36	d2e1218563Meyers-1905	Futterbau	Karyophyllazeen:
37	d2e1218563Meyers-1905	Futterbau	Boraginazeen:
38	d2e1218563Meyers-1905	Futterbau	Polygonazeen:
39	d2e1218563Meyers-1905	Futterbau	Umbelliferen:
40	d2e1218563Meyers-1905	Futterbau	Solanazeen:
41	d2e1218563Meyers-1905	Futterbau	Kompositen:
42	d2e1218563Meyers-1905	Futterbau	Chenopodiazeen:
43	d2e1218563Meyers-1905	Futterbau	Kukurbitazeen:
44	d2e1218563Meyers-1905	Futterbau	Gräser:
45	d2e1484830Meyers-1905	Handfeuerwaffen	Das Jahr 1903 hat folgende Veränderungen gebracht:
46	d2e1591437Meyers-1905	Hŏc volo, sic jubĕo: sit pro ratione voluntas	Hŏc volo, sic jubĕo: sit pro ratione voluntas
47	d2e1754993Meyers-1905	Johann [2]	[Sachsen: Albertinische Linie.]
48	d2e1754993Meyers-1905	Johann [2]	[Sachsen: Ernestinische Linie.]
49	d2e1879296Meyers-1905	Kiefer [2]	Erste Gruppe:
50	d2e1879296Meyers-1905	Kiefer [2]	Zweite Gruppe:
51	d2e2555096Meyers-1905	Neustadt	[Preußen:
52	d2e2610677Meyers-1905	O	O:
53	d2e2689818Meyers-1905	P	p.m.:
54	d2e2689818Meyers-1905	P	P.O.:
55	d2e2689818Meyers-1905	P	p.p.:
56	d2e2689818Meyers-1905	P	P.S.:
57	d2e2829743Meyers-1905	Pilze	1. Reihe: Phykomyzeten
58	d2e2829743Meyers-1905	Pilze	2. Reihe: Askomyzeten
59	d2e2829743Meyers-1905	Pilze	3. Reihe: Basidiomyzeten.
60	d2e3914635Meyers-1905	Wiese [1]	Erste Klasse:
61	d2e3914635Meyers-1905	Wiese [1]	Zweite Klasse:
62	d2e3914635Meyers-1905	Wiese [1]	Dritte Klasse:
63	d2e3914635Meyers-1905	Wiese [1]	Vierte Klasse:
