	EntryID	Headword	lemmaaddition
0	d2e9323Meyers-1905	Ab instantia	absolvieren
1	d2e26170Meyers-1905	Ad absurdum	führen
2	d2e30515Meyers-1905	Ad homĭnem	demonstrieren
3	d2e463885Meyers-1905	Brachydoma	Brachypinakoïd, Brachyprisma, Brachypyramide,
4	d2e578109Meyers-1905	Causā expressā	klagen
5	d2e889848Meyers-1905	Ede, bibe, lude	(post mortem nulla voluptas;
6	d2e1185976Meyers-1905	Freiheitsberaubung	etc
7	d2e1854285Meyers-1905	Kauf [2]	"""auf dem Fuße"""
8	d2e1855101Meyers-1905	Kauf [3]	über die Hand
9	d2e3697813Meyers-1905	Triperies	Tripes
