	EntryID	Headword	class
4284	d2e108870Meyers-1905	Amphióxus lanceolātus	['Leptokardier']
9094	d2e235004Meyers-1905	Ausnahmegesetz	['Staatsangehörigen']
39140	d2e1016285Meyers-1905	Eta [2]	['japanischen']
40288	d2e1044732Meyers-1905	Fadenwürmer	['Würmer']
53198	d2e1418975Meyers-1905	Großkreuz	['Ritterorden']
54567	d2e1453312Meyers-1905	Haarsterne [2]	['Stachelhäuter']
62094	d2e1649760Meyers-1905	Hydrodictўon	['Grünalgen']
63705	d2e1686608Meyers-1905	Infusorĭen	['Protozoen']
75840	d2e2005888Meyers-1905	Krebstiere	['Gliederfüßer']
94118	d2e2489493Meyers-1905	Muscheln	['Weichtiere']
108056	d2e2847747Meyers-1905	Plattwürmer	['Würmer']
113226	d2e2974358Meyers-1905	Rädertierchen	['Würmer']
115825	d2e3037001Meyers-1905	Reptilĭen	['Wirbeltiere']
116538	d2e3053965Meyers-1905	Rhizopōden	['Protozoen']
117134	d2e3069192Meyers-1905	Ringelwürmer	['Würmer']
122388	d2e3208370Meyers-1905	Säugetiere	['Wirbeltiere']
122604	d2e3214045Meyers-1905	Saxophōn	['Klarinetten']
125022	d2e3273113Meyers-1905	Schnecken	['Weichtiere']
127330	d2e3334384Meyers-1905	Seegurken	['Stachelhäuter']
127342	d2e3334845Meyers-1905	Seeigel	['Stachelhäuter']
127496	d2e3339185Meyers-1905	Seesterne	['Stachelhäuter']
127913	d2e3349329Meyers-1905	Selaginellazeen	['Lykopodinen']
131468	d2e3434043Meyers-1905	Sozialdemokratie	['Lohnarbeiter']
134384	d2e3509716Meyers-1905	Sternwürmer	['Würmer']
138487	d2e3604574Meyers-1905	Tausendfüßer	['Gliederfüßer']
140563	d2e3654527Meyers-1905	Tintenschnecken	['Weichtiere']
147003	d2e3809144Meyers-1905	Vierter Stand	['Proletarier']
147599	d2e3822830Meyers-1905	Vögel	['Wirbeltiere']
